Designator,Footprint,Quantity,Value,LCSC Part #
A1,ESP32-S3-ETH,1,ESP32-S3-ETH,
C1,CP_Elec_6.3x3.9,1,220uF,
C3,0603,1,1uF,
"D1, D10, D4, D6, D8",D_SOD-123,5,1N4148W,
"D11, D12, D13, D14, D15, D2, D3, D5, D7, D9",0603,10,LED,
IC1,SO08-SKINNYPADS,1,WS2811,
"J1, J2, J3",HB9500M956P,3,HB9500M-9.5-6P,
J5,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,I2C,
J7,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,WS2812,
J8,696106003002_696106003002,1,696106003002,
"K1, K2, K3",Relay_SPDT_RAYEX-L90,3,RAYEX-L90,
"K4, K5",Relay_SPDT_Omron_G2RL-1-E,2,G2RL-1-E,
LS1,CEM-1205C_CUI_CEM-1205C,1,CEM-1205C,
PS1,HLK-10M05_CONV_HLK-10M05,1,HLK-10M05,
"Q1, Q2, Q3, Q5, Q6",SOT-23,5,S8550,
Q10,SOT-23,1,2N7002,
"Q11, Q12, Q8",TO-252-2,3,NTD5867NL,
"Q4, Q7, Q9",SOT-323_SC-70,3,BSS214NW,
"R1, R10, R12, R16, R19, R20, R23, R25, R27, R28, R30, R31, R33, R35, R37, R4, R6, R8",0603,18,1k,
"R11, R17, R2, R24, R26, R29, R32, R34, R36, R38, R7",0603,11,10k,
"R13, R14, R3, R5, R9",0603,5,2.2k,
R15,0603,1,4.7k,
R18,0603,1,2k74,
R21,0603,1,33,
R22,0603,1,100,
RV1,RV_Disc_D7mm_W3.4mm_P5mm,1,10D561K,
"U1, U10, U2, U3, U9",SOP-4_4.4x2.6mm_P1.27mm,5,FODM217A,
U5,TO-92L,1,DS18B20,
X1,250-212_P-250-212,1,Sensors,
X2,250-212_P-250-212,1,LED's,
