Designator,Mid X,Mid Y,Rotation,Layer
D1,35.155,-110.75,180.0,top
D10,128.5,-120.65,0.0,top
D2,40.905,-110.0,0.0,top
D3,70.75,-109.6875,0.0,top
D4,64.95,-110.4375,180.0,top
D5,100.68,-110.0,0.0,top
D6,94.8125,-110.75,180.0,top
D7,128.45,-122.9,180.0,top
D8,160.95,-122.9,180.0,top
D9,161.0,-120.65,0.0,top
H1,200.0,-91.0,270.0,top
J1,51.75,-179.55,0.0,top
J2,112.5,-179.55,0.0,top
J3,173.25,-179.5,0.0,top
J4,219.75,-179.1,180.0,top
J5,179.475,-90.85,270.0,top
J6,179.475,-120.15,270.0,top
J7,179.475,-138.3,270.0,top
J8,39.2,-95.6,0.0,top
K1,37.0,-135.99,270.0,top
K2,67.0,-135.99,270.0,top
K3,97.0,-135.99,270.0,top
K4,126.75,-143.0,270.0,top
K5,159.0,-143.0,270.0,top
LS1,173.855,-106.77,0.0,top
Q1,41.905,-107.25,90.0,top
Q10,170.2,-115.6,180.0,top
Q2,71.7,-106.9375,90.0,top
Q3,101.5625,-107.25,90.0,top
Q4,242.055,-149.15,90.0,top
Q5,122.97,-122.54,0.0,top
Q6,155.45,-122.54,0.0,top
Q7,242.0,-159.9,90.0,top
Q8,242.0,-170.65,90.0,top
Q9,242.0,-181.4,90.0,top
R1,42.905,-104.5,0.0,top
R10,102.5,-104.5,0.0,top
R11,100.8125,-104.5,180.0,top
R12,102.5625,-110.0,0.0,top
R13,126.7,-120.65,180.0,top
R14,159.18,-120.65,180.0,top
R15,202.2,-106.655,90.0,top
R16,162.655,-120.65,0.0,top
R17,130.095,-120.65,0.0,top
R18,170.0,-118.2,180.0,top
R2,41.155,-104.5,180.0,top
R3,39.405,-104.5,180.0,top
R4,42.905,-110.0,0.0,top
R5,69.25,-104.1875,180.0,top
R6,72.75,-104.1875,0.0,top
R7,70.95,-104.1875,180.0,top
R8,72.7,-109.6875,0.0,top
R9,99.0,-104.5,180.0,top
U1,35.405,-107.0,270.0,top
U2,65.2,-106.6875,270.0,top
U3,95.0625,-107.0,270.0,top
U4,162.4,-112.0,180.0,top
U5,243.061212,-130.33,90.0,top
U6,68.0,-90.4,90.0,top
Uw1,197.0,-120.0,270.0,top
X1,252.3,-118.8,0.0,top
X2,252.3,-165.15,0.0,top
