Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D4, D6, D7, D8",D_SOD-123,5,1N4148W,
"D10, D2, D3, D5, D9",0201,5,LED,
H1,WIZ850IO_WIZ850IO,1,WIZ850IO,
"J1, J2, J3",HB9500M956P,3,HB9500M-9.5-6P,
J4,HB9500M953P,1,HB9500M-9.5-3P,
J5,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,I2C,
J6,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Nextion Display,
J7,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,WS2812,
J8,696106003002_696106003002,1,696106003002,
JP1,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,1,A0,
JP2,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,1,A1,
JP3,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,1,A2,
"K1, K2, K3",Relay_SPDT_RAYEX-L90,3,RAYEX-L90,
"K4, K5",Relay_SPDT_SANYOU_SRD_Series_Form_C,2,SANYOU_SRD_Form_C,
LS1,CEM-1205C_CUI_CEM-1205C,1,CEM-1205C,
"Q1, Q2, Q3",SOT-23,3,S8550,
Q10,SOT-23,1,2N7002,
"Q4, Q7, Q8, Q9",TO-220-3_Vertical,4,IRLZ34N,
"Q5, Q6",TO-92_Inline,2,2N222,
"R1, R10, R12, R16, R17, R4, R6, R8",0201,8,1k,
"R11, R2, R7",0201,3,10k,
"R13, R14, R3, R5, R9",0201,5,2.2k,
R15,0201,1,4.7k,
R18,0603,1,2k74,
"U1, U2, U3",SOP-4_4.4x2.6mm_P1.27mm,3,FODM217A,
U4,MCP23017T-E_ML_QFN65P600X600X100-29N,1,MCP23017T-E_ML,
U5,DS18B20_TO-92-TO92127P495H2044-3,1,DS18B20,
U6,230V-5V-STEPDOWN,1,230V-5V-Step-down,
Uw1,MCU_Seeed_ESP32C3,1,MOUDLE-SEEEDUINO-XIAO-ESP32C3,
X1,250-212_P-250-212,1,Sensors,
X2,250-212_P-250-212,1,LED's,
